,Trial,Size,Comparisons,Swaps,QuickSort duration
301,3.0,200.0,719.0,857.0,0.00575709342956543
302,3.0,300.0,1226.0,1426.0,0.009635210037231445
303,3.0,400.0,1778.0,2047.0,0.016820192337036133
304,3.0,500.0,2507.0,2842.0,0.025365114212036133
305,3.0,600.0,2550.0,2950.0,0.0222930908203125
306,3.0,700.0,3613.0,4085.0,0.03319191932678223
307,3.0,800.0,4577.0,5111.0,0.04987287521362305
308,3.0,900.0,4189.0,4794.0,0.045890092849731445
309,3.0,1000.0,5110.0,5777.0,0.04872584342956543
310,3.0,1100.0,7800.0,8543.0,0.08315491676330566
311,3.0,1200.0,6422.0,7216.0,0.06875109672546387
312,3.0,1300.0,7119.0,7984.0,0.0757439136505127
313,3.0,1400.0,6847.0,7767.0,0.06366395950317383
314,3.0,1500.0,10189.0,11186.0,0.10210585594177246
315,3.0,1600.0,9254.0,10323.0,0.09651994705200195
316,3.0,1700.0,10198.0,11330.0,0.11687970161437988
317,3.0,1800.0,9982.0,11175.0,0.10628199577331543
318,3.0,1900.0,10653.0,11912.0,0.1086890697479248
319,3.0,2000.0,13972.0,15320.0,0.1385819911956787
320,3.0,2100.0,13982.0,15393.0,0.14612197875976562
321,3.0,2200.0,14671.0,16140.0,0.14130902290344238
322,3.0,2300.0,13196.0,14713.0,0.13582897186279297
323,3.0,2400.0,14607.0,16218.0,0.15046000480651855
324,3.0,2500.0,16280.0,17937.0,0.18596625328063965
325,3.0,2600.0,14458.0,16191.0,0.15446996688842773
326,3.0,2700.0,18269.0,20049.0,0.16451573371887207
327,3.0,2800.0,17398.0,19262.0,0.17197203636169434
328,3.0,2900.0,18284.0,20210.0,0.1705780029296875
329,3.0,3000.0,18943.0,20921.0,0.19731497764587402
330,3.0,3100.0,22163.0,24238.0,0.2185518741607666
331,3.0,3200.0,21004.0,23147.0,0.19584298133850098
332,3.0,3300.0,19517.0,21722.0,0.20452094078063965
333,3.0,3400.0,23111.0,25380.0,0.23865795135498047
334,3.0,3500.0,22844.0,25190.0,0.22187113761901855
335,3.0,3600.0,24712.0,27091.0,0.23125290870666504
336,3.0,3700.0,23286.0,25749.0,0.22084403038024902
337,3.0,3800.0,26939.0,29482.0,0.2676692008972168
338,3.0,3900.0,24961.0,27567.0,0.23502206802368164
339,3.0,4000.0,26101.0,28762.0,0.22842693328857422
340,3.0,4100.0,25468.0,28221.0,0.25704121589660645
341,3.0,4200.0,25534.0,28328.0,0.2559480667114258
342,3.0,4300.0,28529.0,31388.0,0.2688939571380615
343,3.0,4400.0,32648.0,35579.0,0.29746103286743164
344,3.0,4500.0,27005.0,30013.0,0.25800514221191406
345,3.0,4600.0,27771.0,30874.0,0.25067806243896484
346,3.0,4700.0,31111.0,34230.0,0.30893588066101074
347,3.0,4800.0,32173.0,35383.0,0.29886698722839355
348,3.0,4900.0,36309.0,39580.0,0.34906601905822754
349,3.0,5000.0,34078.0,37384.0,0.292064905166626
350,3.0,5100.0,36608.0,40017.0,0.33335304260253906
351,3.0,5200.0,39011.0,42490.0,0.35268235206604004
352,3.0,5300.0,38079.0,41615.0,0.35684680938720703
353,3.0,5400.0,34935.0,38548.0,0.35747504234313965
354,3.0,5500.0,41732.0,45418.0,0.3947029113769531
355,3.0,5600.0,41344.0,45105.0,0.37285494804382324
356,3.0,5700.0,43463.0,47283.0,0.3940889835357666
357,3.0,5800.0,46304.0,50158.0,0.4369490146636963
358,3.0,5900.0,43075.0,47010.0,0.4406931400299072
359,3.0,6000.0,43886.0,47897.0,0.40767908096313477
360,3.0,6100.0,41796.0,45867.0,0.41914796829223633
361,3.0,6200.0,44335.0,48491.0,0.4032437801361084
362,3.0,6300.0,47847.0,52042.0,0.43672609329223633
363,3.0,6400.0,50495.0,54740.0,0.4727969169616699
364,3.0,6500.0,42619.0,46944.0,0.4161257743835449
365,3.0,6600.0,50222.0,54636.0,0.4511749744415283
366,3.0,6700.0,45798.0,50273.0,0.45108795166015625
367,3.0,6800.0,51126.0,55662.0,0.47723817825317383
368,3.0,6900.0,49784.0,54406.0,0.45111918449401855
369,3.0,7000.0,60480.0,65133.0,0.6501150131225586
370,3.0,7100.0,52918.0,57612.0,0.5230851173400879
371,3.0,7200.0,53715.0,58495.0,0.5158493518829346
372,3.0,7300.0,54708.0,59569.0,0.4915766716003418
373,3.0,7400.0,51531.0,56445.0,0.48776698112487793
374,3.0,7500.0,49027.0,54035.0,0.5301270484924316
375,3.0,7600.0,63056.0,68119.0,0.580049991607666
